assessment_year,industry,company_id,parent_aspect,aspect,score_weight,score_value
2020,ICS Commercial Services & Supplies,5927176,Social Dimension,Human Rights,4,0.0
2020,ICS Commercial Services & Supplies,5927176,Social Dimension,Labor Practice Indicators,6,0.0
2020,ICS Commercial Services & Supplies,5927176,Social Dimension,Occupational Health & Safety,7,0.0
2020,ICS Commercial Services & Supplies,5927176,Social Dimension,Social Reporting,4,0.0
2020,ICS Commercial Services & Supplies,5927176,Social Dimension,Talent Attraction & Retention,6,0.0
2020,ICS Commercial Services & Supplies,5927176,,S&P Global ESG Score,100,6.948449
2020,ICS Commercial Services & Supplies,280812082,Environmental Dimension,Climate Strategy,8,0.0
2020,ICS Commercial Services & Supplies,280812082,Environmental Dimension,Environmental Policy & Management Systems,5,0.0
2020,ICS Commercial Services & Supplies,280812082,Environmental Dimension,Environmental Reporting,4,0.0
2020,ICS Commercial Services & Supplies,280812082,Environmental Dimension,Operational Eco-Efficiency,8,0.0
2020,ICS Commercial Services & Supplies,280812082,Governance & Economic Dimension,Codes of Business Conduct,8,0.0
2020,ICS Commercial Services & Supplies,280812082,Governance & Economic Dimension,Corporate Governance,8,23.3
2020,ICS Commercial Services & Supplies,280812082,Governance & Economic Dimension,Customer Relationship Management,3,0.0
2020,ICS Commercial Services & Supplies,280812082,Governance & Economic Dimension,Information Security/ Cybersecurity & System Availability,2,0.0
2020,ICS Commercial Services & Supplies,280812082,Governance & Economic Dimension,Materiality,3,0.0
2020,ICS Commercial Services & Supplies,280812082,Governance & Economic Dimension,Policy Influence,3,0.0
2020,ICS Commercial Services & Supplies,280812082,Governance & Economic Dimension,Risk & Crisis Management,6,0.0
2020,ICS Commercial Services & Supplies,280812082,Governance & Economic Dimension,Supply Chain Management,6,0.0
2020,ICS Commercial Services & Supplies,280812082,S&P Global ESG Score,Environmental Dimension,25,0.0
2020,ICS Commercial Services & Supplies,280812082,S&P Global ESG Score,Governance & Economic Dimension,39,4.779487
2020,ICS Commercial Services & Supplies,280812082,S&P Global ESG Score,Social Dimension,36,0.0
2020,ICS Commercial Services & Supplies,280812082,Social Dimension,Corporate Citizenship & Philanthropy,3,0.0
2020,ICS Commercial Services & Supplies,280812082,Social Dimension,Human Capital Development,6,0.0
2020,ICS Commercial Services & Supplies,280812082,Social Dimension,Human Rights,4,0.0
2020,ICS Commercial Services & Supplies,280812082,Social Dimension,Labor Practice Indicators,6,0.0
2020,ICS Commercial Services & Supplies,280812082,Social Dimension,Occupational Health & Safety,7,0.0
2020,ICS Commercial Services & Supplies,280812082,Social Dimension,Social Reporting,4,0.0
2020,ICS Commercial Services & Supplies,280812082,Social Dimension,Talent Attraction & Retention,6,0.0
2020,ICS Commercial Services & Supplies,280812082,,S&P Global ESG Score,100,1.864
2020,IEQ Machinery and Electrical Equipment,877346,Environmental Dimension,Climate Strategy,6,0.0
2020,IEQ Machinery and Electrical Equipment,877346,Environmental Dimension,Environmental Policy & Management Systems,5,2.9
2020,IEQ Machinery and Electrical Equipment,877346,Environmental Dimension,Environmental Reporting,3,0.0
2020,IEQ Machinery and Electrical Equipment,877346,Environmental Dimension,Operational Eco-Efficiency,7,0.0
2020,IEQ Machinery and Electrical Equipment,877346,Environmental Dimension,Product Stewardship,7,0.0
2020,IEQ Machinery and Electrical Equipment,877346,Governance & Economic Dimension,Codes of Business Conduct,7,37.24
2020,IEQ Machinery and Electrical Equipment,877346,Governance & Economic Dimension,Corporate Governance,8,26.92
2020,IEQ Machinery and Electrical Equipment,877346,Governance & Economic Dimension,Customer Relationship Management,3,0.0
2020,IEQ Machinery and Electrical Equipment,877346,Governance & Economic Dimension,Information Security/ Cybersecurity & System Availability,2,0.0
2020,IEQ Machinery and Electrical Equipment,877346,Governance & Economic Dimension,Innovation Management,6,0.0
2020,IEQ Machinery and Electrical Equipment,877346,Governance & Economic Dimension,Materiality,3,0.0
2020,IEQ Machinery and Electrical Equipment,877346,Governance & Economic Dimension,Policy Influence,2,0.0
